States/UTs,Geographical Area,Recorded Forest Area as per ISFR 2015,Total Forest cover as per ISFR 2015
Andhra Pradesh,160204,37258,24424
Arunachal Pradesh,83743,51407,67248
Assam,78438,26832,27623
Bihar,94163,6493,7288
Chhattisgarh,135191,59772,55586
Delhi,1483,102,188.77
Goa,3702,1225,2224
Gujarat,196022,21647,14660
Haryana,44212,1559,1584
Himachal Pradesh,55673,37033,14696
Jammu & Kashmir,222236,20230,22988
Jharkhand,79714,23605,23478
Karnataka,191791,38284,36421
Kerala,38863,11309,19239
Madhya Pradesh,308245,94689,77462
Maharashtra,307713,61579,50628
Manipur,22327,17418,16994
Meghalaya,22429,9496,17217
Mizoram,21081,5641,18748
Nagaland,16579,9222,12966
Odisha,155707,58136,50354
Punjab,50362,3084,1771
Rajasthan,342239,32737,16171
Sikkim,7096,5841,3357
Tamil Nadu,130058,22877,26345
Telangana,114865,26904,21591
Tripura,10486,6294,7811
Uttar Pradesh,240928,16582,14461
Uttarakhand,53483,38000,24240
West Bengal,88752,11879,16828
Andaman & Nicobar Islands,8249,7171,6751
Chandigarh,114,35,22.03
Dadra & Nagar Haveli,491,204,206
Daman & Diu,112,8,19.61
Lakshadweep,32,0,27.06
Puducherry,480,13,55.38
Grand Total,3287263,764566,701673
